DATE,A065RC1A027NBEA
1929-01-01,85.289
1930-01-01,76.533
1931-01-01,65.668
1932-01-01,50.294
1933-01-01,47.234
1934-01-01,54.09
1935-01-01,60.843
1936-01-01,69.221
1937-01-01,74.71
1938-01-01,69.084
1939-01-01,73.632
1940-01-01,79.408
1941-01-01,97.878
1942-01-01,126.724
1943-01-01,156.187
1944-01-01,169.717
1945-01-01,175.786
1946-01-01,182.534
1947-01-01,194.481
1948-01-01,213.496
1949-01-01,211.071
1950-01-01,233.735
1951-01-01,264.232
1952-01-01,282.46
1953-01-01,299.227
1954-01-01,302.221
1955-01-01,324.159
1956-01-01,347.903
1957-01-01,367.983
1958-01-01,378.953
1959-01-01,402.865
1960-01-01,422.138
1961-01-01,440.576
1962-01-01,468.837
1963-01-01,492.774
1964-01-01,528.193
1965-01-01,570.659
1966-01-01,620.339
1967-01-01,665.723
1968-01-01,730.915
1969-01-01,800.336
1970-01-01,865.045
1971-01-01,932.785
1972-01-01,1024.456
1973-01-01,1140.78
1974-01-01,1251.819
1975-01-01,1369.389
1976-01-01,1502.647
1977-01-01,1659.236
1978-01-01,1863.721
1979-01-01,2082.67
1980-01-01,2323.645
1981-01-01,2605.118
1982-01-01,2791.597
1983-01-01,2981.057
1984-01-01,3292.716
1985-01-01,3524.881
1986-01-01,3733.084
1987-01-01,3961.598
1988-01-01,4283.399
1989-01-01,4625.573
1990-01-01,4913.791
1991-01-01,5084.914
1992-01-01,5420.868
1993-01-01,5657.948
1994-01-01,5947.11
1995-01-01,6291.376
1996-01-01,6678.529
1997-01-01,7092.489
1998-01-01,7606.662
1999-01-01,8001.868
2000-01-01,8652.601
2001-01-01,9005.595
2002-01-01,9158.965
2003-01-01,9487.549
2004-01-01,10035.076
2005-01-01,10598.246
2006-01-01,11381.708
2007-01-01,12007.782
2008-01-01,12442.208
2009-01-01,12059.109
2010-01-01,12551.597
2011-01-01,13326.77
2012-01-01,14010.14
2013-01-01,14181.095
2014-01-01,14991.715
2015-01-01,15717.76
2016-01-01,16121.183
2017-01-01,16878.796
2018-01-01,17819.158
